dataset,embedding,evidence_tokens,full_evidence,graph_actions,harmful_expansions,policy,policy_latency_ms,retrieval_latency_ms,seed,support_mrr,support_ndcg,support_recall,support_recall_at_2,support_recall_at_5,total_latency_ms,total_latency_ms_p95
hotpot,qwen3-embedding_0.6b,655.81,0.64,0.0,0.0,hybrid,0.018599100643768907,245.62474579829723,101,0.9267333333333333,0.7976417262764167,0.814,0.665,0.814,245.7798201974947,355.07255987031385
hotpot,qwen3-embedding_0.6b,691.577,0.711,2.0,1.725,relevance_always,40.881441306788474,245.62474579829723,101,0.9255,0.8163156077468331,0.848,0.665,0.848,286.6268768047448,400.68473499268293
hotpot,qwen3-embedding_0.6b,650.363,0.809,1.957,1.576,mrv_always,38.40996939712204,245.62474579829723,101,0.9245333333333333,0.8464494675293802,0.8955,0.665,0.8955,284.14975349535234,398.54360503377393
hotpot,qwen3-embedding_0.6b,679.621,0.71,1.626,1.366,relevance_gated,32.386936301598325,245.62474579829723,101,0.92585,0.816772404713489,0.848,0.665,0.848,278.13137319590896,397.5327553343959
hotpot,qwen3-embedding_0.6b,648.655,0.81,1.569,1.201,mrv_gated,31.04144120379351,245.62474579829723,101,0.9248333333333334,0.8472575432183548,0.8965,0.665,0.8965,276.7827300953213,397.2031601238996
hotpot,qwen3-embedding_0.6b,645.161,0.932,0.516,0.0,oracle_upper_bound,27.59396929619834,245.62474579829723,101,0.9302333333333334,0.8943037869233136,0.9635,0.665,0.9635,273.3326277954038,393.9276999095455
hotpot,qwen3-embedding_0.6b,604.004,0.448,0.0,0.0,bm25,0.015038802288472652,54.41372499894351,101,0.8442166666666667,0.683419466726298,0.6975,0.549,0.6975,54.535255699418485,88.03236512467264
hotpot,qwen3-embedding_0.6b,652.74,0.586,0.0,0.0,dense,0.017244703136384487,3.0318114003166556,101,0.9230166666666666,0.778629351059155,0.785,0.647,0.785,3.1640057070180774,3.940740076359361
hotpot,qwen3-embedding_0.6b,635.161,0.62,0.0,0.0,rrf_fusion,0.016620104433968663,57.366888001095504,101,0.90025,0.7728293576730155,0.8025,0.624,0.8025,57.49542970629409,91.51765496935695
hotpot,qwen3-embedding_0.6b,655.81,0.64,0.0,0.0,hybrid,0.018506403546780348,68.11212540254928,202,0.9267333333333333,0.7976417262764167,0.814,0.665,0.814,68.26362940785475,97.53901977092026
hotpot,qwen3-embedding_0.6b,691.577,0.711,2.0,1.725,relevance_always,39.94562389864586,68.11212540254928,202,0.9255,0.8163156077468331,0.848,0.665,0.848,108.17964280419983,142.28779529221356
hotpot,qwen3-embedding_0.6b,650.862,0.808,1.958,1.578,mrv_always,38.08410489722155,68.11212540254928,202,0.9245333333333333,0.8462704103544278,0.895,0.665,0.895,106.31123139616102,138.69158489396793
hotpot,qwen3-embedding_0.6b,682.701,0.709,1.727,1.462,relevance_gated,33.867179699474946,68.11212540254928,202,0.9258,0.8162933733124901,0.8475,0.665,0.8475,102.0988040980883,137.74197038728744
hotpot,qwen3-embedding_0.6b,649.178,0.804,1.646,1.279,mrv_gated,32.037339503411204,68.11212540254928,202,0.9248333333333334,0.8457425103665326,0.8935,0.665,0.8935,100.26640850771219,137.01165487291289
hotpot,qwen3-embedding_0.6b,645.161,0.932,0.516,0.0,oracle_upper_bound,27.35874169692397,68.11212540254928,202,0.9302333333333334,0.8943037869233136,0.9635,0.665,0.9635,95.58499169815332,133.42344481498003
hotpot,qwen3-embedding_0.6b,604.004,0.448,0.0,0.0,bm25,0.014498498756438494,53.71490529947914,202,0.8442166666666667,0.683419466726298,0.6975,0.549,0.6975,53.83744999789633,83.80578504875302
hotpot,qwen3-embedding_0.6b,652.74,0.586,0.0,0.0,dense,0.01645850343629718,2.9948481975588948,202,0.9230166666666666,0.778629351059155,0.785,0.647,0.785,3.1259073021356016,3.540085046552121
hotpot,qwen3-embedding_0.6b,635.161,0.62,0.0,0.0,rrf_fusion,0.01590210129506886,57.27406549453735,202,0.90025,0.7728293576730155,0.8025,0.624,0.8025,57.40379999834113,87.3666699742898
hotpot,qwen3-embedding_0.6b,655.81,0.64,0.0,0.0,hybrid,0.016207504319027066,56.96365180192515,303,0.9267333333333333,0.7976417262764167,0.814,0.665,0.814,57.11574940383434,85.49749008379877
hotpot,qwen3-embedding_0.6b,691.577,0.711,2.0,1.725,relevance_always,37.312020398443565,56.96365180192515,303,0.9255,0.8163156077468331,0.848,0.665,0.848,94.39267349988222,125.90213975636289
hotpot,qwen3-embedding_0.6b,651.057,0.807,1.958,1.58,mrv_always,36.0835958966054,56.96365180192515,303,0.9246166666666666,0.8460644827696722,0.8945,0.665,0.8945,93.16085339896381,124.12743516033515
hotpot,qwen3-embedding_0.6b,685.603,0.711,1.765,1.498,relevance_gated,32.79573189886287,56.96365180192515,303,0.92575,0.8167677687380287,0.8485,0.665,0.8485,89.87714239838533,124.95812478009611
hotpot,qwen3-embedding_0.6b,650.574,0.804,1.741,1.373,mrv_gated,32.284047801047564,56.96365180192515,303,0.9248666666666667,0.8455431821521131,0.8935,0.665,0.8935,89.36071240645833,123.13005516771227
hotpot,qwen3-embedding_0.6b,645.161,0.932,0.516,0.0,oracle_upper_bound,26.01195340184495,56.96365180192515,303,0.9302333333333334,0.8943037869233136,0.9635,0.665,0.9635,83.08818170451559,119.1691750427708
hotpot,qwen3-embedding_0.6b,604.004,0.448,0.0,0.0,bm25,0.014903402188792825,50.8507421023678,303,0.8442166666666667,0.683419466726298,0.6975,0.549,0.6975,50.968121404061094,77.33353018993509
hotpot,qwen3-embedding_0.6b,652.74,0.586,0.0,0.0,dense,0.016349801560863853,2.94753999565728,303,0.9230166666666666,0.778629351059155,0.785,0.647,0.785,3.075372101040557,3.37979489704594
hotpot,qwen3-embedding_0.6b,635.161,0.62,0.0,0.0,rrf_fusion,0.01625530212186277,53.82627130486071,303,0.90025,0.7728293576730155,0.8025,0.624,0.8025,53.951586103765294,81.66105020791292
musique,bge-m3_latest,1073.411,0.164,0.0,0.0,hybrid,0.021282801870256662,11119.337364496896,101,0.7353571428571429,0.5118841616577917,0.5185833333333333,0.35525,0.47683333333333333,11119.548373201862,459.8022203659639
musique,bge-m3_latest,1154.502,0.201,3.0,2.748,relevance_always,78.75004570605233,11119.337364496896,101,0.7238666666666665,0.5120976877934166,0.527,0.35525,0.45508333333333334,11198.269246904645,537.2012201347388
musique,bge-m3_latest,1092.894,0.265,2.987,2.689,mrv_always,75.4255922017619,11119.337364496896,101,0.7223857142857143,0.5287809938707686,0.5568333333333333,0.35525,0.4815,11194.938089400064,534.9031149526127
