dataset,full_evidence_delta,gated_full_evidence,gated_graph_actions,hybrid_full_evidence,query_id,question_type,support_count,support_recall_delta
hotpot,0.0,0.0,0.0,0.0,5a734a205542992359bc32e2,bridge,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a734acf5542991f9a20c6ec,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a734bb65542994cef4bc50f,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a734ca85542994cef4bc51b,comparison,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a734dad5542994cef4bc522,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a734f4455429901807dafba,bridge,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a7350d55542994cef4bc535,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a73522d5542994cef4bc541,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a7353b35542994cef4bc54f,bridge,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a7354d55542994cef4bc55a,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7354e35542994cef4bc55b,bridge,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a73551e5542991f29ee2d84,comparison,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a73583455429901807dafcf,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a73595055429901807dafd6,bridge,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a735bae55429901807dafef,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a735c3a55429901807daff7,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7360235542991f29ee2dc7,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a73630655429901807db020,comparison,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a7363465542991f29ee2dd5,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7365b155429901807db02a,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a73672b5542991f29ee2de7,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a73677455429901807db030,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a736e0155429901807db04f,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a736f7c5542991f29ee2e18,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a737dc455429908901be2c9,bridge,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a737fff554299623ed4abb9,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a738093554299623ed4abbb,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7380e055429908901be2d6,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7380e855429905862fe041,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a73830d55429908901be2da,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a7384755542992d56e7e354,bridge,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a7385c45542992d56e7e359,comparison,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a738a5955429908901be2f6,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a738b855542992d56e7e363,comparison,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a738bd0554299623ed4abee,bridge,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a738d27554299623ed4abf3,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a738fb4554299623ed4abf9,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a738fe855429908901be2fb,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7391b655429978a71e902c,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a739323554299623ed4abff,comparison,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a73984355429908901be307,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a739d8755429978a71e9048,comparison,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a739d8c55429905862fe073,bridge,2,0.5
hotpot,1.0,1.0,2.0,0.0,5a73a7c755429978a71e9068,bridge,2,0.5
hotpot,0.0,1.0,0.0,1.0,5a73ae3b55429978a71e907c,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a73aeb855429908901be311,bridge,2,0.0
hotpot,-1.0,0.0,2.0,1.0,5a73b0975542992d56e7e387,bridge,2,-0.5
hotpot,0.0,0.0,2.0,0.0,5a73b1855542992d56e7e388,bridge,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a73b2cb55429908901be31a,bridge,2,0.0
hotpot,0.0,1.0,1.0,1.0,5a73b2fd55429978a71e907f,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a73b55855429978a71e9086,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a73b8d655429908901be31f,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a73bcf055429978a71e909c,comparison,2,0.0
hotpot,1.0,1.0,1.0,0.0,5a73c958554299623ed4ac5c,bridge,2,0.5
hotpot,0.0,1.0,0.0,1.0,5a73cad5554299623ed4ac5e,bridge,2,0.0
hotpot,1.0,1.0,2.0,0.0,5a73cf5e55429978a71e909f,bridge,2,0.5
hotpot,0.0,1.0,2.0,1.0,5a73d3ea5542992d56e7e3af,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a73d4385542992d56e7e3b1,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a73d951554299623ed4ac77,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a73f2035542993a88ae2ea8,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a73f4f75542993a88ae2ebc,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a74106b55429979e288289e,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a74122f55429929fddd83da,bridge,2,0.0
hotpot,0.0,0.0,1.0,0.0,5a7412b655429979e28828a1,bridge,2,0.0
hotpot,0.0,1.0,2.0,1.0,5a7414d855429929fddd83db,bridge,2,0.0
hotpot,0.0,0.0,2.0,0.0,5a7415cf55429979e28828a6,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a74167455429929fddd83dc,bridge,2,0.0
hotpot,1.0,1.0,1.0,0.0,5a7438ec55429979e28828b8,bridge,2,0.5
hotpot,0.0,0.0,1.0,0.0,5a74512b55429974ef308bd5,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a74524455429979e28828f6,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a74547755429979e2882900,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a74551555429974ef308bd9,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7455eb55429979e2882908,bridge,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a7456ec55429979e288290f,comparison,2,0.0
hotpot,0.0,1.0,0.0,1.0,5a74581555429979e2882912,bridge,2,0.0
hotpot,0.0,0.0,0.0,0.0,5a74594a55429974ef308be1,bridge,2,0.0
hotpot,1.0,1.0,2.0,0.0,5a745e1455429929fddd83fd,bridge,2,0.5
